Localidad	Derivado		Boca de expendio					Dirección			Bandera		Precio sin impuesto	Precio final	Volumen informado (m3)		Exento
CAPITAL FEDERAL	Gas Oil Grado 2		DEHEZA S.A.I.C.F.E.I					AU DELLEPIANE 4180			SHELL C.A.P.S.A.		1.574,97	2.199,00	56,01		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ALGAVI SA					EVA PERON 2101			SHELL C.A.P.S.A.		1.589,31	2.199,00	14,45		NO
CAPITAL FEDERAL	Gas Oil Grado 2		SUPER SERVICIOS SA					AV AVELLANEDA 1628			YPF		1.412,09	2.101,00	33,76		NO
CAPITAL FEDERAL	Gas Oil Grado 2		DEHEZA S.A.I.C.F.I.					AUT. ILLIA ENTRE 7 Y PEAJE			SHELL C.A.P.S.A.		1.574,97	2.199,00	34,01		NO
CAPITAL FEDERAL	Gas Oil Grado 3		ALBERDI 2299 SRL					AV. JUAN B. ALBERDI 2299			SHELL C.A.P.S.A.		1.910,19	2.499,00	32,82		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PROYECTOS SUSTENTABLES S.A.					LISANDRO DE LA TORRE 2179			YPF		1.654,08	2.318,00	136,15		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA					AV CORDOBA 5984 Y DORREGO			YPF		1.767,96	2.350,00	34,03		NO
CAPITAL FEDERAL	Gas Oil Grado 3		CRISTINA ISABELLI DE MARTINEZ E HIJOS S.H					juramento 3411			DAPSA S.A.		1.745,78	2.369,00	3,00		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PROODOS SA					AV. JUAN B. JUSTO 5315			YPF		1.689,03	2.320,00	61,61		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA					VELEZ SARFIELD 850			YPF		1.740,69	2.318,00	66,43		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA					AV. CABILDO 4108			YPF		1.767,96	2.350,00	44,35		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA					J B JUSTO 1215 Y NICARAGUA			YPF		1.767,96	2.350,00	52,49		NO
CAPITAL FEDERAL	Gas Oil Grado 3		PROINCO SA					AV. LA PLATA 901			YPF		1.580,13	2.318,00	39,09		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA					AV CORDOBA 4201 Y PRINGLES			YPF		1.767,96	2.350,00	37,37		NO
CAPITAL FEDERAL	Gas Oil Grado 3		DARSISA S.A.					AV. JUAN B. JUSTO Nº 7099			YPF		680,23	2.320,00	60,96		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA					AV DE LOS CONSTITUYENTES 6070			YPF		1.749,21	2.328,00	72,42		NO
CAPITAL FEDERAL	Gas Oil Grado 3		OPESSA					AV CABILDO 3501			YPF		1.767,96	2.350,00	46,29		NO
